"field","mechanism","one_directional","licensing_evidence","stated_bound_or_rate","ground_truth_needed","feasible_at_2k_labels","skeptic_verdict","citation","url"
"6 medical longitudinal imaging","M3 minimum-change gate (relative AND absolute floor) with false-change measured on non-cancer nodules","no","measured change exceeds both a relative % and an absolute floor; RECIST '>= 20% increase ... also demonstrate an absolute increase of at least 5 mm' (convention, no gold)","Lee 2022: >1.5 mm fired on '3 (3.4%)' of 89 benign at sensitivity '42.3% [11 of 26]'; volume gate specificity 82.0% (16/89, not the finder's '14 (15.7%)'); '11 (12.4%)' does not exist in the paper; observer LoA -2.9 to +2.6 mm; noise alone predicts ~12.9% for the 1.5 mm gate","verified-unchanged objects (the source EXCLUDED nodules that disappeared) + verified-changed objects + a repeat-measurement subset; interval ~7 months vs 8 years","yes for a sensitivity/specificity sweep (1,170 -> tight false-change; 42 -> ~30 pp CI; compare gates paired, McNemar)","WEAKENED -> LEAD. Citation corrected to Lee, Hwang, Lim & Goo 2022 PLOS ONE; the gate's default is stasis (57.7% of real transitions missed); 3.4% is population stasis x protocol x interval, 4x BELOW the paper's own noise prediction; stable set built by deleting the changers; MEASURED-RATE on a proxy gold; Step 5 DESIGN-ONLY","RECIST 1.1 (EORTC page; Eisenhauer 2009 primary unreadable); Lee, Hwang, Lim & Goo 2022 PLOS ONE (PMC9477274)","https://doi.org/10.1371/journal.pone.0274583"
"6 medical longitudinal imaging","M4 deferral to a third state for equivocal findings, with backdating on confirmation","partial","change magnitude inside a borderline band ('9mm to 11mm may not represent true disease progression'); re-evaluate at the next assessment","no rate; 'the date of PD would be the date the new node was first documented' (backdating)","none for the rule; verified points only to size the band","yes - free; the most recent acquisition can never be resolved","not adjudicated (finder label LEAD)","RECIST 1.1 (EORTC); Schwartz et al. 2016 Eur J Cancer (PMC5737828)","https://recist.eortc.org/recist-1-1/"
"6 medical longitudinal imaging","M5 unbiased within-subject template: share initialisation, not conclusions; refuse temporal regularisation","no","nothing is corrected; cross-time information sets the starting point only; no time point privileged","'temporal regularization can limit the power of an algorithm to detect large changes'; ~15-20% reduction in change variability (Fig. 7); no false-correction rate","none for the rule; a repeat-observation pair with no possible real change for the null control","yes - zero labels","not adjudicated (finder label LEAD)","Reuter, Schmansky, Rosas & Fischl 2012 NeuroImage 61(4):1402 (PMC3389460)","https://doi.org/10.1016/j.neuroimage.2012.02.084"
"6 medical longitudinal imaging","M6 hard set-nesting longitudinal constraint plus a volumetric change cap (SegHeD+)","partial","set membership across time-point all-lesion masks (new subset of t2, disjoint from t1), loss-enforced","volumetric cap 'alpha_high=1.2 and alpha_low=0.8, permitting +/-20% annual variation' (hyperparameter, no sensitivity analysis); vanishing branch validated on time-inverted data only","none for a write-time assertion; labelled change data to show benefit","yes for the assertion (zero labels); no for validating benefit; UNVALIDATED preprint","not adjudicated (finder label LEAD)","Basaran et al. 2024 arXiv:2412.10946","https://arxiv.org/abs/2412.10946"
"6 medical longitudinal imaging","M7 temporally-blinded per-scan gold + longitudinal consistency scored separately + reader study","no","a measurement protocol: 'the raters were blinded to the temporal ordering of the data'; STAPLE consensus over two raters PLUS the 14 submitted algorithms; LongCorr = within-subject Pearson of volumes","inter-rater Dice 0.6340; lesion FPR 0.1380 (R1 vs R2) / 0.5630 (R2 vs R1); inter-rater LongCorr -0.0053; SPRINT-MS 3.4 vs 0.4 new lesions per paired scan, kappa -0.06 on that subset, no reference standard; the separate-score rule is not in the paper (metrics combined into one normalised score)","two independent labellers on the same points; per-year PRESENCE labelled without neighbouring model output; change read as a paired interval (derived change needs per-chip error < 1.8% to beat 42 real losses)","yes for ~1,000 double-labelled presence points (±2-4 pp); but a blinded per-chip gold cannot replace the interval change gold","WEAKENED -> LEAD. Blinding is structurally incompatible with a change label (a loss is a relation between dates); the finder's disqualification rule would discard the 42 losses and 1,170 no-change points; LongCorr degeneracy is affine invariance (10% of canopy every year scores 1.0), inter-rater reference -0.0053; the consensus includes the methods being scored; MEASURED-RATE inter-rater numbers; separate-score rule DESIGN-ONLY","Carass et al. 2017 NeuroImage 148:77-102 (PMC5344762); SPRINT-MS 'New/Enlarging T2 Lesions ... Computer vs Human Detection', Int J MS Care","https://doi.org/10.1016/j.neuroimage.2016.12.064"
"7 astronomy / transient detection","M1 injection-recovery completeness curve epsilon(brightness) per epoch","yes","synthetic sources of known brightness injected into real images; recovered fraction per bin; 'epsilon_S/N is empirically measured from the fakes'","no bound; operating point 'The effective S/N threshold, defined for epsilon_S/N=0.5, is about 5 in each band'; logistic f(m)=1/(1+e^(alpha(m-m0))) (Harris 2024 Eq. 1); erf form (CFHTLS)","recall by covariate bin per acquisition; astronomy's gold is synthetic (UNVALIDATED against real sources); index by the TRUE (2020) crown size","partial - the panel gives 2016-2024; ~1-2 acquisitions per session for the rest","not adjudicated (finder label LEAD)","Kessler et al. 2015 AJ 150:172 (DES-SN); CFHTLS T0007 release doc Sec. 4.3; Harris et al. 2024 AJ 168","https://arxiv.org/abs/1507.05137"
"7 astronomy / transient detection","M2 forced photometry at known positions; absence recorded as a depth-dependent upper limit","yes","prior knowledge that an object exists at that position from another epoch; a non-detection becomes flux ± sigma, not zero","'We recommend SNT = 3 and SNU = 5'; upper limit 'mag = zpdiff - 2.5 * log10( SNU * forcediffimfluxunc )'; sigma is an a-priori variance model with a floor (Eq. 5), point sources only, difference-image, cross-epoch zero point rescale Sec. VI.6","none to RUN; the whole panel to VALIDATE (RMS(s/sigma_s) ~ 1 on the no-change panel); per-year logit calibration with a zpdiff analogue","zero labels to run; 0/42 -> 7.1% to validate; needs the continuous per-year rasters","WEAKENED -> LEAD. sigma_s from within-crown variance has no floor (constant predictor -> sigma 0; partial removal -> uninformative non-detection); SNT/SNU sit at the end of a calibration chain the transposition drops; a logit has no zpdiff; the KERNEL survives (keep the raster; record an absence as a bound); DESIGN-ONLY","Masci et al. 2023 PASP (ZTF forced photometry service); LSST/Rubin LSE-163 Data Products Definition Document","https://arxiv.org/abs/2305.16279"
"7 astronomy / transient detection","M3 depth-weighted non-detection likelihood; per-epoch sensitivity enters the product","partial","per-epoch recorded limiting magnitude / sensitivity; Mohite Eq. 8 product over epochs, Eq. 14 selection density (confirmed by re-fetch); Kasliwal's joint non-detection probability; Carbone depth-weights inside its Monte Carlo","Carbone Eq. 7 rho_hat = -ln(1-c)/[p(F,T) x (T_survey+T) x FOV] (95% CL from zero detections, in its own domain); Kasliwal 'our joint probability of detecting zero kilonovae is only 4.2%' (reported, never thresholded); the gate Sum -log(1-eps_y) >= tau appears in none of the three papers","per-year detection efficiency eps_y(x) on a PRESENCE-VERIFIED denominator; on the ~33 non-panel acquisitions eps against projected-2020 labels is circular and biased low","yes for panel-covered years only; 17-33 sessions for the rest","WEAKENED -> LEAD. Gate is Kasliwal's object not Mohite's; the Carbone 'no explicit equation' quotation was fabricated (summariser); single-anchor and structurally so - its FAIL branch ('cannot distinguish') becomes the licence to fill; under correlated misses the honest statistic is max_y w_y; circular eps flips a two-absence gate from loss to fill; fabricated removals land on the 1,170 no-change points; DESIGN-ONLY as proposed","Mohite et al. 2021 ApJ (arXiv:2107.07129); Carbone et al. 2016 MNRAS (arXiv:1611.06050); Kasliwal et al. 2020 ApJ 905:145 (abstract)","https://arxiv.org/abs/2107.07129"
"7 astronomy / transient detection","M4 persistence gate - N detections on M separate nights before promotion","yes","repetition of a detection across independent visits: 'a candidate requires two detections on separate nights within 30 days'; REJECTS positives (wrong polarity for a miss-dominated problem)","no bound; 'Requiring two detections on different nights reduces this slightly to 1.0x10^5'; Wright: '37% of the detections were deemed to be real'","a human-screened stream + fakes passed through the WHOLE pipeline (the validation architecture worth borrowing); index efficiency by the true flux (Kessler 2019 Sec. 7.1)","yes - pass the 1,170 + 42 points through the complete healing rule and report survival per class (labels already held)","not adjudicated (finder label LEAD)","Kessler et al. 2019 MNRAS 485:1171 (DES-SN); Kessler 2015; Wright et al. 2015 MNRAS 449:451","https://arxiv.org/abs/1811.02379"
"7 astronomy / transient detection","M5 learned real-bogus vetting with a published FPR/FNR operating curve","yes","appearance of the detection stamp + a large human-labelled corpus; rejects positives (wrong polarity)","'At a score threshold of 0.65, braai yields a value of 1.7% for both FNR and FPR' (3,271 test examples); Wright: 'At a FPR of 1% ... MDR of 10.6%'","~32,000 human-labelled stamps spanning the artefact parameter space","no - 16-130x the budget; only the reporting standard transfers (publish the full operating curve with the chosen point named)","not adjudicated (finder label REJECT)","Duev et al. 2019 MNRAS 489:3582 (braai); Wright et al. 2015","https://arxiv.org/abs/1907.11259"
"7 astronomy / transient detection","M6 completeness weighting C=1/P indexed by the TRUE input property, not the measured one","yes","injection-recovery table P(M_recov, M_in) per epoch; C(M_recov)=1/P >= 1 can only add back to an aggregate","measured bias of the wrong indexing: 'overestimation at M_in = -22 mag is 0.2 dex' (synthetic truth from the paper's own code)","a two-way recovery table size_2020 x size_year per acquisition; the fixed-2020 design already satisfies the indexing rule","marginal - two-way table ~1 acquisition per session; one-way P(size_2020) is cheaper; corrects counts, not labels","not adjudicated (finder label LEAD)","'A quantitative assessment of completeness correction methods...' 2022 MNRAS 509:5836 (DOI 10.1093/mnras/stab3265)","https://arxiv.org/abs/2111.08528"
"8 ecology / occupancy modelling","M1 repeated-visit occupancy likelihood; all-zero history = psi*prod(1-p) + (1-psi)","yes","repeat visits to the same site inside a closure window; 'Species are never falsely detected at a site when absent'; closure assumes the answer","simulation: 'When detection probability is 0.3 or greater, the estimates of psi are reasonably unbiased ... for T >= 5'; 'caution if ... psi very close to 1 ... when detection probabilities are low (<0.15) ... occasions ... (<7)'; no false-correction rate","per-visit detection probability p (the existing recall curve)","yes - reuses the recall curve; the refusal region (T_eff < 5 with p < 0.3; any window with p < 0.15) costs nothing","not adjudicated (finder label LEAD)","MacKenzie et al. 2002 Ecology 83:2248-2255","https://doi.org/10.1890/0012-9658(2002)083[2248:ESORWD]2.0.CO;2"
"8 ecology / occupancy modelling","M2 dynamic (multi-season) occupancy: gain/loss as explicit gamma, epsilon; posterior on 1-0-1","yes","externally supplied p, epsilon, gamma; Eq. 7 psi_t = psi_{t-1}(1-eps) + (1-psi_{t-1})gamma; Eq. 4 (p.2202) for a trailing run is the single-anchor formula; 'with flanking detections' is the project's rule, not the model's","posterior Pr(no change | 1,0,1) = (1-eps)^2(1-p)/[(1-eps)^2(1-p)+eps*gamma] (re-derived, complete); 'largely unbiased except when both k_t and p_{t,j} are small' (p.2204) - established only at demographic equilibrium (gamma pinned to eps); K=1 not identified: 'detection probability will be confounded with the parameters of interest' (p.2206)","p_t by covariate; eps (42/1,212 -> 0.0044/yr, Wilson CI ok); gamma_conditional = P(regain | recent removal) - NOT estimable from an endpoint panel (2 gains -> Poisson CI spanning 30x; measures colonisation, not regain); the paper's own field example never estimated gamma","yes for city-level eps; no for gamma; the gate cannot be validated because it cannot fire","REFUTED. At the project's rates Pr(no change|1,0,1) >= 0.9999 for any p < 0.9999 (below 0.99 needs p > 0.99991; at the 95% upper bound on gamma still p > 0.99967) - any pre-registered threshold returns HEAL everywhere; fires usefully only at gamma ~ 0.2; the finder's (f) W=1-(1-eps)^L*gamma inverts the sign as written; single-anchor (Eq. 4); latent chain and the endpoint panel share within-interval blindness; STRUCTURAL-OR-IDENTIFIABILITY-ONLY; survives as an audit statistic and as the definition of gamma_conditional","MacKenzie, Nichols, Hines, Knutson & Franklin 2003 Ecology 84:2200-2207","https://doi.org/10.1890/02-3090"
"8 ecology / occupancy modelling","M3 calibrate detection p on a replicated / hand-labelled subsample, plug into single-visit sites","yes","independent replication on a stratified subset: 'multiple visits at a subset of sites for the purpose of estimating detection probability ... could be applied to sites visited only once' (prescribed, not tested)","none for the plug-in; two-visit design needs occupancy > 0.7 and p > 0.3, 'Even then, however, precision of the estimate may be low.' (sentence the finder dropped); observers of differing ability 'may introduce heterogeneity that would bias parameter estimates' (p.2206)","hand labels stratified by crown size x GSD x season (Lele: 100-200 for means, >= 300 for coefficients); replicates must be conditionally independent draws from a COMMON detection process","yes for 3-4 classes; but REDUNDANT (the project already holds p-hat(size,GSD,season)) and the transport step is what neither source validates","WEAKENED -> LEAD. A human re-reading the same pixels is not independent of the model (p-hat inflated worst in coarse leaf-off years); a human using cross-year/lidar evidence is a higher-information instrument, not a replicate; supplying p to a saturated gate does not un-saturate it; DESIGN-ONLY (Discussion prose)","MacKenzie et al. 2002 p.2253; MacKenzie et al. 2003 p.2206","https://doi.org/10.1890/02-3090"
"8 ecology / occupancy modelling","M4 single-visit identifiability via covariates acting on p but not on psi; data-cloning estimability test","yes","a numeric covariate affecting detection but not occupancy; 'at least one covariate that is in one set but not the other'; P(W=0|Y=0)=1","'reasonably well at sample sizes of 100-200, whereas a good estimation of the regression coefficients occurs at sample sizes of 300 or larger'; contested: Knape & Korner-Nievergelt 2015 (unreadable; via Solymos & Lele abstract) show non-identifiability under some detection models","none for data cloning (k*Var(posterior) -> 0 as clones increase, else non-estimable in that stratum); ~300 labelled sites for coefficients; condition (ii) may fail (crown size affects both detection and persistence)","yes - the estimability test costs zero labels","not adjudicated (finder label LEAD)","Lele, Moreno & Bayne 2012 J Plant Ecol 5:22-31; Solymos & Lele 2015 arXiv:1501.05880 (abstract)","https://doi.org/10.1093/jpe/rtr042"
"8 ecology / occupancy modelling","M5 structurally-certain detection channel identifies the false-positive rate p10","partial","a subset of observations of a type that cannot be falsely positive (Table 1: P(y=2|z=0)=0, FIXED not estimated); in Miller earned by physical capture (dip net), not by re-reading the same signal","'T + S >= 3'; known-truth broadcast-call experiment: 'the MacKenzie model overestimated true occupancy by nearly 80%' (one sentence; n and design in unfetched Appendix E); p10 = 0.030 / 0.008 / 0.027; model selection declines FP machinery '>95% of the time' when none present; Clare '~50' is secondary (cites an in-review manuscript), conditional on constant s0, and about unbiasedness not CI width","~130 (±50%) to ~520 (±25%) hand-verified model-asserted canopy points per stratum, with the verifier checked against an independent modality on a sub-sample; 2,000 labels buys ~4 strata, not 40","yes as a binomial audit of p10 for a few strata; no for a per-year ceiling gate (upper bounds 0.07-0.17 at n=50 refuse every year)","WEAKENED -> LEAD (audit instrument). The procedure never calls Miller's likelihood; the structural zero is assumed, untested, and Miller's escape hatch is the Royle-Link ordering constraint the finder rejected; a verifier who agrees with the model returns p10=0 and passes any ceiling; STRUCTURAL-OR-IDENTIFIABILITY-ONLY (not MEASURED-RATE as readable); Miller primary, Clare preprint","Miller et al. 2011 Ecology 92:1422-1428; Clare, Zuckerberg & Townsend 2018 bioRxiv 422527","https://doi.org/10.1890/10-1396.1"
"8 ecology / occupancy modelling","M6 order-constrained false-positive mixture fitted WITHOUT confirmed observations","no","detection counts alone plus an a-priori ordering assumption p11 > p10","anti-guarantee: 'L(p11, p10, psi) = L(p10, p11, 1 - psi)'; 'no statistical analysis can yield information in support of one of the mechanisms over the other'; borrowable bound: P(spurious persistence) = 1 - (1 - p10)^T with T = post-gap acquisitions","none for fitting (self-validating); p10 from M5 for the bound","yes for the bound (reuses M5 labels); the estimator itself unusable","not adjudicated (finder label REJECT)","Royle & Link 2006 Ecology 87:835-841","https://www.uvm.edu/~tdonovan/Occupancy%20Exercises/Exercise12/Royle_Link_2006.pdf"
"8 ecology / occupancy modelling","M7 boundary / degeneracy diagnostics as a refuse-to-correct gate","no","the shape of the fitted likelihood surface: 'Regardless of the data ... the estimating equation ... always has a solution at psi_hat_i = 1' (all sites occupied, all variability blamed on detection)","boundary estimates in 4.6% of samples (psi=0.4) vs 48.0% (psi=0.1); rebuttal: 'In 98.5% of the simulations, unmarked found the maximum-likelihood estimates at the first attempt'; design target 'overall detection P_det (around 0.85-0.95)'","none for the boundary check; the recall curve for the cumulative-detection target 1 - prod(1-p_t) in [0.85, 0.95]","yes - zero labels; but only meaningful if a likelihood is actually fitted rather than p plugged in","not adjudicated (finder label LEAD)","Welsh, Lindenmayer & Donnelly 2013 PLoS ONE 8(1):e52015; Guillera-Arroita et al. 2014 PLoS ONE 9(7):e99571","https://doi.org/10.1371/journal.pone.0052015"
"9 image-processing primitives","M1 hysteresis thresholding (two thresholds, connectivity-licensed weak evidence)","yes","a weak pixel kept only if connected to one above `high`: 'If any part of a contour is above a high threshold, those points are immediately output, as is the entire connected segment of contour ... which lies above a low threshold' (Canny p.690); ONE anchor in all three sources","no bound; 'The ratio of the high to low threshold in the implementation is in the range two or three to one' (Canny p.690 - the CVonline 'recommends ... based on predicted signal-to-noise ratios' gloss is a distortion); thresholds scaled from a per-image noise percentile","per-year score distribution + a labelled panel: `high` from 2020; a per-year `low` needs ~84 positives/year (~2,940 stratified labels, 1.5x the ceiling)","partial - high yes; per-year low no; global low fails the covariate axis","WEAKENED -> LEAD (a legitimate cheap baseline). Canny's licence is a contour prior = 'the tree was never removed' imported as an assumption; designed to perform 1->0 on weak isolated detections relative to the raw mask; single-anchor: one strong pre-removal year promotes every post-removal year above `low`, runs off the sequence end included; STRUCTURAL-OR-IDENTIFIABILITY-ONLY; primary obtained by the skeptic","Canny 1986 IEEE TPAMI 8(6):679-698 (primary reachable); CVonline (Price 1996); scikit-image apply_hysteresis_threshold docs","https://perso.lisn.upsaclay.fr/vezien/PAPIERS_ACS/canny1986.pdf"
"9 image-processing primitives","M2 reconstruction by dilation (marker under mask)","yes","a marker pixel inside a mask connected component: 'The reconstruction rho_I(J) of mask I from marker J is the union of the connected components of I which contain at least a pixel of J'; precondition J subset of I","sandwich J <= rho_I(J) <= I (derived); contour preservation; Vincent Prop. 2.1 rho_I(J) = rho_I(R(J)) - one representative per marked component is the whole licence; no rate","the mask's detectability-floor term needs a per-year recall-vs-size curve (~7,000 labels if not extrapolated); the panel cannot see a laundered 1998 removal","no - 'zero new labels' is false as stated; the dominant failure lies outside 2016-2024","REFUTED as proposed. The mask has no per-year observational term, so in x-y-t a crown's voxels form one component across all 36 years unless a verified-loss polygon (n=42) breaks it - one marker anywhere promotes every post-removal year at every UNVERIFIED removal, contour-perfect; also deletes below-floor raw canopy (1->0); both sources derive the marker from the mask (J subset of I by construction) - the finder's usage is outside what either paper exercises; FORMAL-BOUND but the wrong bound; survives as lattice VOCABULARY for auditing the existing backfill","Vincent 1992 CVPR pp.633-635; Breen, Jones & Talbot 2000 Statistics and Computing 10:105-120","https://people.cmm.minesparis.psl.eu/users/marcoteg/cv/publi_pdf/MM_refs/vincent/Vincent_Reconstruction_10.1.1.116.5241.pdf"
"9 image-processing primitives","M3 1-D temporal morphological closing (the gap bridge with an explicit length bound)","yes","canopy present on BOTH sides of a 0-run shorter than the structuring element (both-sides satisfied structurally); geometric, not probabilistic","'closings are extensive filters' / psi(f) >= f (Breen Table 1 p.107, Sec. 3.2 p.108); idempotence; fills an interior 0-run iff g <= L-1 (derived, confirmed); nesting in L; extensivity bounds 1->0 - the direction already forbidden - and nothing on 0->1; L is in SAMPLES while the project's constraint is in YEARS; terminal-run behaviour is padding-dependent; idempotence can break if a size floor is evaluated on the current mask","42 losses + 1,170 no-change to overlay laundered(L), triples(L); n_eligible (losses with any post-loss 1)","yes to compute (zero labels); certification: 42 -> 6.9%, ~60 losses (one session) -> 5%, ~300 -> 1%","WEAKENED -> LEAD as a heal rule; STANDS as the comparator baseline the brief asked field 9 for. Models no error; a fixed L over-fills in the fine years where an absence was most informative; re-specify L in years since last observation and show laundered(.) fires on an injected known-bad L -> RECOMMEND at an honest 5-7% ceiling; FORMAL-BOUND","Breen, Jones & Talbot 2000 Statistics and Computing 10:105-120; Hlavac CTU lecture notes (binary morphology)","https://perso.esiee.fr/~talboth/articles/Mine/breen-etal-SandC2000.pdf"
"9 image-processing primitives","M4 area / attribute opening (size floor, delete-only)","yes","per-component area above lambda, an increasing criterion; 'The component transform has the properties of anti-extensivity and idempotence'","FORMAL-BOUND for the operator (Breen Sec. 3.6); Gao 2020's 'TP difference varies from a low decrease of 2.56% ... to a high decrease of 20.77%' is the cost of sieve + 3x3 CLOSING at precision 0.336 / recall 0.988 with a NON-BINDING floor (5 px vs 40 px smallest vehicle), and 717 of 4,012 ground-truth objects leave the paper's own accounting (TP+FN 3,925 -> 3,208 while FN moves by 33)","the recall-vs-crown-size curve for lambda(year); object-level gold with per-object area for the audit table (FP and PWC are NOT computable from a point panel)","yes for the operator on the ADDED set; no for Gao's audit table on a point panel","WEAKENED -> LEAD. As specified ('after any heal') gamma_lambda o phi_L is neither extensive nor anti-extensive and can delete a correctly detected small crown (1->0); fix: x U gamma_lambda(phi_L(x) \ x); a floor that deletes a crown in every year is invisible to the kill criterion; Gao is evidence AGAINST the closing, not for the floor; add a crowns-deleted column; Breen primary, Gao arXiv-only preprint","Breen, Jones & Talbot 2000 Sec. 3.6 p.116; Gao, Ram & Rodriguez 2020 arXiv:2010.15260 (preprint)","https://arxiv.org/abs/2010.15260"
"9 image-processing primitives","M5 hole filling / fillhole (bounded variant remove_small_holes)","yes","topological enclosure - background unreachable from the image border; temporally 'enclosed' = canopy at some earlier and some later year with no distance limit","classic fillhole: no size bound (the L -> infinity limit of closing; the BLIND tier applied unconditionally); bounded variant 'Remove contiguous holes smaller than the specified size'; reconstruction precondition seed <= mask","verified losses + dated building/water footprints to detect laundering; mutation-test with the unbounded fillhole to show the gate fires","yes - existing 42 losses and footprint layers suffice for the spatial bounded variant","not adjudicated (finder label LEAD)","Vincent 1992 (reconstruction machinery); scikit-image morphology docs citing Soille 2003 Ch. 6","https://scikit-image.org/docs/stable/api/skimage.morphology.html"
"9 image-processing primitives","M6 temporal median / rank filter (negative control)","no","majority vote in a temporal window; self-dual on {0,1}: median(x^c) = (median(x))^c","no directional bound - self-duality means 1->0 is performed by design; window w removes every run shorter than ceil(w/2) of either sign","42 verified losses, to run it as the negative control whose laundered count one-directionality must beat","yes - free; as a baseline to beat, never as a heal","not adjudicated (finder label REJECT)","Hlavac CTU notes slide 38 (opening/closing duality); Gallagher & Wise 1981 IEEE ASSP 29:1135 UNREADABLE","https://people.ciirc.cvut.cz/~hlavac/TeachPresEn/11ImageProc/71-3MatMorpholBinEn.pdf"
"9 image-processing primitives","M7 granulometry / gap-length spectrum H(L) (instrument)","no","none - it licenses nothing; H(L) = sum phi_L(x) - sum x over the x-y-t stack (Breen eq. (3) by duality: 'The granulometry curve by openings can be supplemented by ... closings')","monotone if the SE family is convex and obeys the absorption law (a necessary condition - 'must', not 'iff'); Fig. 9 r=0.97 validates the spectrum as a size descriptor only","42 losses + 1,170 no-change to overlay laundered(L) and triples(L); report n_eligible and crowns_deleted(L); L in years","yes - zero labels; certification limited to 2016-2024 and to 6.9% on 42","WEAKENED: keep H(L) and the published table; DROP L* = max{L: laundered(L)=0}, an argmax over the region where the test has no power (monotone laundered(L) slides L outward until the panel happens to catch a loss; floor 7%); the instrument has no brake if n_eligible = 0 (laundered(L) pinned at zero -> unbounded hole filling); replace with 'largest L whose 95% upper bound sits below a pre-set tolerance'; mutation-test; H(L) qualifies as a pure instrument","Breen, Jones & Talbot 2000 Sec. 3.3.1 p.109 eq. (3)","https://perso.esiee.fr/~talboth/articles/Mine/breen-etal-SandC2000.pdf"
"9 image-processing primitives","M8 spatio-temporal (x-y-t) connected operators; 3D vs 2D+t vs t+2D ordering","partial","membership in a spatio-temporal connected component under a value predicate; nesting 'for all alpha' <= alpha, alpha'-CC(p) subset of alpha-CC(p)'","counts, not accuracy: '4,441CC per frame in 2D vs. 6,779CC per frame in 3D' (chaining); 2D+t 23,926CC; t+2D 16,830CC; 'As 3D approach is not suitable for video processing'","none for the ordering comparison; 42 losses + 1,170 no-change to score which order launders less","yes - the comparison is free; do not build a single 3-D SE over (x,y,t)","not adjudicated (finder label LEAD)","Weber, Lefevre & Gancarski 2011 ISMM, LNCS pp.178-189 (DOI 10.1007/978-3-642-21569-8_16)","https://www.jonathan-weber.eu/files/articles/ISMM2011.pdf"
"10 speech / signal processing (VAD hangover)","M1 hangover as a causal running maximum (ITU-T P.56 Method B via Kabal 1999)","yes","a recent above-threshold crossing of the smoothed envelope: q~_i = max over the last I samples (Eq. 3; printed window index is an erratum); every index <= i - CAUSAL, one anchor, forward only","no bound; 'hangover (H = 0.2 seconds, or I = ceil(H/t) samples)' stated with no rationale; 'The effective hangover time is somewhat larger than H due to the smoothing' (unquantified); the 350-400 ms perceived-pause floor [3] = Berry 1971 (unfetched) is never connected to H in the source","none for the operator; a duration prior for the bridge length - a 95%-confident 1st percentile needs >= 299 dated regrowth events","no - a few dozen regrowth cases cannot bound a minimum; the project has 2 verified gains","REFUTED. P.56 defines a measurand (speech activity factor) and knowingly counts real non-speech as active; the operator is causal while the project's licence is two-sided - a crown detected in k0 and felled in k0+1 is written present through k0+I (the project's primary failure is the operator's defining behaviour); 'for the two-sided case a closing' substitutes field 9's operator; the anti-laundering bridge rule is the finder's synthesis (DESIGN-ONLY); extensivity FORMAL-BOUND but bounds the wrong direction; Kabal is secondary for P.56 and tertiary for the floor; extensivity survives as a constraint on any adopted heal","Kabal 1999 (rev. of 1997) McGill TSP Lab technical report 'Measuring Speech Activity' (describing ITU-T P.56 Method B; P.56 itself unfetched)","https://www.mmsp.ece.mcgill.ca/Documents/Reports/1999/KabalR1999.pdf"
"10 speech / signal processing (VAD hangover)","M2 covariate-conditioned hangover length + evidence-gated OFF switch","yes","a recent speech decision AND a covariate saying current evidence is weak: hangover 'delays the speech to non-speech VAD transition during 8 frames while it is deactivated when the LTSD exceeds 25 dB'; the OFF switch is keyed on the RECORDING's SNR, not the gap frame's evidence","no bound; patent Table 1 schedule 90 ms (SNR >= 23 dB) to 210 ms (3-10 dB), 'VAD functions minimized' below 3 dB (a synthesis of rows, values correct); Ramirez Table 1 LTSE HR0 47.28% / HR1 98.15% - hangover contribution never isolated, no ablation, no derivation of 25 dB or 8 frames","dense frame-level speech/non-speech labels in the source (~1.5-2.5 million frames); for the project: laundering measured on verified losses STRATIFIED by the covariate - the strata where tau matters most (coarse, leaf-off, older) have zero verified losses","no - tau can be calibrated where least needed and cannot be validated where it matters (42 split three ways -> 21% ceiling per stratum)","WEAKENED -> LEAD. Under the finder's reading the OFF switch is dead code (a frame in the hangover branch has LTSD < 6 dB and cannot reach 25 dB); the 'crown well above that year's floor' half of the analogue has no counterpart; one anchor, forward only; cost model inverted (52.72% of true silence called speech); the covariate-gated-OFF SHAPE survives as a lead; STRUCTURAL-ONLY shading to DESIGN-ONLY","Ramirez, Segura, Benitez, de la Torre & Rubio 2004 Speech Communication 42:271-287; Hong & Carlone, US5410632A (1995, expired)","https://www.ugr.es/~segura/pdfdocs/specom04.pdf"
